id,copy_id,title,country,year,type,length,crew,text_de,text_en
160943,160945,L'heure h,SZ,1936,Dokumentar,21,Jacques Boolski,Geschichte über die Entstehung eines Films im Hinblick auf den nationalen Wettbewerb. Auswahl des Dr ...,Story of the creation of a film for the national competition of amateur filmmakers. Selection of the ...
160946,160948,Technik siegt über die Natur,SZ,1939,Dokumentar,33,Edwin Abderhalden,"Dokumentarfilm über den Bau der Säntis-Schwebebahn (1933-1935), der zweiten Bahn dieser Art in der S ...",Documentary about the Säntis cable railway and the different phases of its construction and completi
160979,160981,65 Jahre,SZ,1992,Dokumentar,,Stefan Jäger,"Wer weiss schon, wie sich ein Grossvater fühlt, der gelernt hat, für seine Existenz zu kämpfen?  Ode ...",Who knows what a grandfather who has learnt to fight for his existence feels? Or a grandmother who s ...
161247,161249,City Spot Rom,SZ,,Trickfilm,1,Werner Emmisberger,"Vertikale und horizontale Linien fügen sich zur Ansicht Treppenaufgang mit Hausfassaden zusammen, we ...","Vertical and horizontal lines join together to the view staircase with house fronts, get colored. Ro ..."
161292,161294,Mit dem Tierpsychologen im Zoo,SZ,1951,Dokumentar,16,,"Texttafeln im Film:  1. Vorurteile -Der Wolf ist nicht ""böse"" -Das Kamel ist nicht ""hochnäsig"" -Der  ...",Detailed presentation of the behaviour of a lot of animals in a zoo.
161300,161302,A237 Olé Cordobes,FR,1966,Scopitone,3,Miguel Cordoba,"Eine dunkelhaarige Frau mit rotem Kostüm bewegt sich zu spanischer Musik, umgeben von mehreren Herre ...","A dark-haired woman with red costume moves to Spanish music, surrounded by several men. In between t ..."
161315,165472,Gezähnte Kunst,SZ,1968,Dokumentar,50,Kurt Blum,Dokumentarfilm im Auftrag der PTT und des Fonds zur Förderung der Philatelie über die Herstellung vo ...,Documentary about the printing technology of stamps.
161336,165669,Auf weissem Grund,SZ,1962,Dokumentar,10,Kurt Blum,"Verschneite Landschaften, Bäume, Berge und Gletscher, Bobbahn, Pferderennen im Schnee, Skirennen, Ei ...",Artistic study of winter sports.
161372,161374,Guckerl macht sich heimisch,SW,1948,Spielfilm,12,wilhelm Sörensen,"Die Geschichte eines Elchkalbes, das einen durch Kinder verursachten Waldbrand verhütet. Das Elchkin ...",The story of a young moose preventing a wood fire caused by children. The elk can now eat in the hou ...
161375,161377,Konzert am Tümpel,GW,1952,Dokumentar,16,Heinz Sielmann,"Verschiedene amphibische Tümpelbewohner, darunter Grasfrösche, Laubfrosch, Erdkröten und andere Lurc ...","Different types of amphibians are shown in their natural habitat, and in their efforts for propagati ..."
161591,161593,Odile Petitpierre,SZ,1992,Dokumentar,19,Ingeborg Wyss-Hurni,Das Porträt über die Keramikerin und Malerin Odile Petitpierre zeigt eine Künstlerin unserer Zeit. D ...,Portray of the contemporary ceramist and painter Odile Petitpierre. Art and live of the Lucerne arti ...
161666,161668,Eine Zigarettenlänge,SZ,1953,Spielfilm,8,Werner Frischknecht,"Ein junger Mann findet den Brief eines Banklehrlings. Während er eine Zigarette raucht, macht er sic ...",A young man finds a letter from an apprentice at a bank to his mom. While smoking a cigarette he ima ...
161672,161674,Ange ou démon?,SZ,1953,Spielfilm,7,Georges Salomon,"Eine engelhafte Frau neben Schachfiguren und auf schachbrettartigem Boden, mit starken Licht/Schatte ...","Woman with chessman and chessboard, shot with strong light and shadow effects."
161684,161686,Gerechtigkeit,SZ,1989,Spielfilm,1,René Pfister,Zwei Jungs spazieren durch Zürich - vorbei an reichen Banken und Pennern auf Bänklein. Sie kaufen ei ...,On their walk through the city of Zurich two boys pass by wealthy banks and homes people sleeping on ...
161729,161731,Strada di sabbia,IT,1964,Spielfilm,13,Costantino Ceccarelli,Zwei Männer mit Eimern tragen am Strand immer wieder Wasser zu ihrem Sandloch.,Two men carry water from the sea to their sand holes.
161780,161782,Au fil de l'hiver,SZ,1969,Dokumentar,15,Jean Martinet,"Das Leben auf dem Bauernhof während des Winters: Versteigerung, Holzen, Frühstück, Arbeiten im Stall ...",
161831,161833,Ausgang unerwartet,SZ,1954,Spielfilm,8,Heinrich Zwicky,Zwei düstere Gesellen hecken nachts vor einem Wirtshaus ein Gaunerstück aus.  Sie begeben sich getre ...,Two sinister companions are planning a trickery in front of a tavern. Each of them enters the tavern ...
161855,161857,La Corde au Cou,FR,1965,Trailer,3,Joseph Lisbona,Der verheiratete Arthur betreibt eine aussereheliche Affäre mit Clara. Seiner Frau Isabelle überdrüs ...,"The married Arthur has an affair with Clara. Being tired of his wife Isabelle, he decides to murder  ..."
161897,161899,Graue Boote,GW,1958,Dokumentar,13,Hans Totter,Bericht über die Arbeit der deutschen Wasserschutzpolizei.,Report on the German Sea Police.
161914,161916,Sleeping Beauty,NE,1935,Trickfilm,6,George Pal,"Die Geschichte des Dornröschens wird mit Puppen erzählt, die Pointe ist aber, dass sie 1939 dank ein ...","The story of the sleeping beauty is told with puppets, but she is awaken by the sound of a radio in "
161946,161948,Song mit Freddy Quinn,GW,,Fragment,3,,1 Song Freddy Quinn Er steht in New York am Pier und singt von seinem Heimweh nach St. Pauli.,"Fredi Quinn (standing in New York) sings about his wish of returning back to St. Pauli, Hamburg, Ger"
161952,161954,Es hat drei Mal geläutet...,GW,1957,Dokumentar,10,Gerhard Grindel,"Blick hinter die Kulissen des Theaters am Kurfürstendamm, vom Putzen am Morgen bis zur Aufführung am","A look behind the scene of the theater ""Kurfürstendamm"" in Berlin."
161961,161963,Prest-o change-o,US,1939,Trickfilm,7,Ken Harris,Zwei Hunde werden vom Hundefänger verfolgt und flüchten in das gruselige Haus des Zauberers Sham-Fu. ...,"Two dogs, pursued by the dogcatcher, take refuge in the creepy home of Sham-Fu the magician. The mag ..."
161964,161966,Hospes 54/Sesselbahn BEA,SZ,1954,Amateur,7,,"Ausstellung Hospes, Bern 1954, Sesselbahn Bärengraben - Rosengarten - BEA 1954.","Pictures of the funicular that was installed in Berne for the ""Hospes"" fair in 1945."
161979,161981,Voli Geiler + Walter Morath am Bubenbergplatz,SZ,1965,Werbung,4,Theo Rais,"Voli Geiler und Walter Morath besuchen verschiedene Geschäfte (Spar + Leihkasse, Asper, Rischik Hand ...",A couple visits the different shops near the train station of Berne.
161986,161988,Visage de Paris,FR,1956,Dokumentar,10,François Reichenbach,"Série: Demain c'est dimanche  Stimmungsbilder aus Paris, vom Morgengrauen bis in die Nacht:  - Les b ...","A glance of Paris, from the early morning to the night:  - Les berges de la Seine - La place de la C ..."
162003,162005,Music by Mancini,US,1966,Dokumentar,11,Henry Mancini,"Interview mit Henry Mancini über seine Kompositionsarbeit zum Film ""Arabesque"".",We visit Mancini on the scoring stage of ARABESQUE.
162015,162017,Grand Prix Trio,UK,1955,Dokumentar,28,Stanley Schofield,"Bericht zu drei Formel-1 Autorennen in Monaco, Zandvoord und England. Im Mittelpunkt steht jeweils d ...","Maserati, Mercedes Benz and Ferrari teams in the Grand Prix races in Holland, Great Britain and Mont"
162033,162035,Dobb's,,,Werbung,1,,Nach isolierten Bildern des Big Ben und eines Queen's Guard werden in einem Studio die einzelnen Buc ...,"Following isolated shots of the Big Ben and a Queen's Guard, we see live-sized 3D-models of the diff ..."
162086,162088,Listen to Steel,UK,1963,Dokumentar,33,Daniel Ingram,Zeigt die verschiedenen Etappen bei der Herstellung von Stahl.,With a background of natural sounds the film follows the production of iron and steel from the handl ...
162158,162162,[Ausflug auf dem Thunersee],SZ,1940,Amateur,3,,Ausflug auf dem Thunersee.,Trip on the lake of Thun.
162166,162168,[Zigarretten-Werbung],US,,Werbung,2,,Werbung von Phillip Morris und Marlboro (3 x) 1) Welcome commander (Philip Morris) 2) Flugzeug - Mar ...,Commercial of Phillip Morris and Marlboro (3x) 1) Welcome commander (Philip Morris) 2) Airplane - Ma ...
